Region,Scenario,Sector,outcome,value,adm0_iso
Portugal,Pollination_100pc,Fertilizers,abs_change,5.04361192398697,PRT
Portugal,Pollination_100pc,Fertilizers,pct_change,0.0728,PRT
Portugal,Pollination_20perc,Fertilizers,abs_change,0.852676395292405,PRT
Portugal,Pollination_20perc,Fertilizers,pct_change,0.0123,PRT
Portugal,Pollination_100pc,Food services,abs_change,-334.364475223133,PRT
Portugal,Pollination_100pc,Food services,pct_change,-0.0043,PRT
Portugal,Pollination_20perc,Food services,abs_change,-55.8517982597259,PRT
Portugal,Pollination_20perc,Food services,pct_change,-7e-4,PRT
Portugal,Pollination_100pc,Forest products,abs_change,108.699270521152,PRT
Portugal,Pollination_100pc,Forest products,pct_change,0.0087,PRT
Portugal,Pollination_20perc,Forest products,abs_change,18.3500073744908,PRT
Portugal,Pollination_20perc,Forest products,pct_change,0.0015,PRT
Portugal,Pollination_100pc,Industrials,abs_change,318.380837356278,PRT
Portugal,Pollination_100pc,Industrials,pct_change,0.0032,PRT
Portugal,Pollination_20perc,Industrials,abs_change,51.3311802997777,PRT
Portugal,Pollination_20perc,Industrials,pct_change,5e-4,PRT
Portugal,Pollination_100pc,Industrials/Transport,abs_change,66.8389980284409,PRT
Portugal,Pollination_100pc,Industrials/Transport,pct_change,0.0022,PRT
Portugal,Pollination_20perc,Industrials/Transport,abs_change,9.59737507567115,PRT
Portugal,Pollination_20perc,Industrials/Transport,pct_change,3e-4,PRT
Portugal,Pollination_100pc,Oil & Gas,abs_change,7.15706543954911,PRT
Portugal,Pollination_100pc,Oil & Gas,pct_change,0.0038,PRT
Portugal,Pollination_20perc,Oil & Gas,abs_change,1.24774040356192,PRT
Portugal,Pollination_20perc,Oil & Gas,pct_change,7e-4,PRT
Portugal,Pollination_100pc,Processed/packaged food and meats,abs_change,-703.752391039404,PRT
Portugal,Pollination_100pc,Processed/packaged food and meats,pct_change,-0.0443,PRT
Portugal,Pollination_20perc,Processed/packaged food and meats,abs_change,-125.403789664589,PRT
Portugal,Pollination_20perc,Processed/packaged food and meats,pct_change,-0.0079,PRT
Portugal,Pollination_100pc,Services,abs_change,-43.2904269265127,PRT
Portugal,Pollination_100pc,Services,pct_change,-2e-4,PRT
Portugal,Pollination_20perc,Services,abs_change,-7.56472298078006,PRT
Portugal,Pollination_20perc,Services,pct_change,0,PRT
